"id","Season","GP","Mins","G","A","Shots","SOG","FC","OFF","Y","R"
-92917,"2018/2019",3,22,0,0,1,1,1,0,0,0
-92873,"2018/2019",1,93,0,0,0,0,1,0,0,0
-92872,"2018/2019",5,460,2,2,19,9,9,1,1,0
-92819,"2018/2019",8,334,0,0,0,0,1,0,0,0
-92818,"2018/2019",6,74,1,0,1,1,6,0,1,0
-92810,"2018/2019",2,21,0,0,0,0,0,0,0,0
-92607,"2018/2019",8,592,4,0,16,9,5,5,0,0
-92596,"2018/2019",8,314,0,0,4,0,1,0,0,0
-92595,"2018/2019",2,22,0,0,0,0,0,0,0,0
-92591,"2018/2019",7,585,1,0,4,2,2,0,1,0
-92590,"2018/2019",4,194,0,0,1,0,1,0,0,0
-92588,"2018/2019",1,97,0,0,0,0,0,0,0,0
-92563,"2018/2019",9,305,0,0,2,1,3,0,1,0
-92556,"2018/2019",2,52,0,0,0,0,0,0,0,0
-92555,"2018/2019",4,96,0,1,0,0,1,0,0,0
-92554,"2018/2019",11,768,1,0,11,5,5,0,0,0
-92553,"2018/2019",4,175,0,0,2,1,1,0,0,0
-92552,"2018/2019",1,33,0,0,0,0,0,0,0,0
-92551,"2018/2019",2,30,0,0,0,0,1,0,0,0
-92548,"2018/2019",11,1040,0,0,0,0,0,0,0,0
-92531,"2018/2019",5,198,0,0,5,1,5,0,0,0
-92527,"2018/2019",2,32,0,0,0,0,0,1,0,0
-92526,"2018/2019",7,408,0,1,4,2,4,0,1,0
-92525,"2018/2019",4,377,0,0,0,0,0,0,0,0
-92523,"2018/2019",4,149,0,0,1,0,1,2,0,0
-92522,"2018/2019",3,196,0,0,0,0,1,0,0,0
-92516,"2018/2019",12,965,1,1,10,3,9,1,2,0
-92515,"2018/2019",7,147,0,0,5,2,1,1,0,0
-92501,"2018/2019",7,405,0,0,6,1,4,2,0,0
-92500,"2018/2019",1,28,0,0,1,1,0,0,0,0
-92498,"2018/2019",10,917,1,0,7,1,4,0,0,0
-92497,"2018/2019",10,666,0,0,7,2,6,0,0,0
-92495,"2018/2019",7,89,0,0,1,1,2,0,0,0
-92492,"2018/2019",11,992,0,0,0,0,1,0,1,0
-92491,"2018/2019",9,810,3,0,5,3,8,0,0,0
-92434,"2018/2019",9,553,1,0,12,5,10,0,1,0
-92408,"2018/2019",4,203,0,0,2,0,6,0,0,0
-92400,"2018/2019",4,101,0,0,2,1,1,0,0,0
-92199,"2018/2019",6,176,0,0,1,1,4,1,1,0
-92191,"2018/2019",3,146,0,0,2,0,4,1,1,0
-92148,"2018/2019",4,78,0,0,2,0,1,0,0,0
-92131,"2018/2019",3,125,0,0,0,0,2,4,0,0
-92130,"2018/2019",10,626,0,2,20,6,12,7,1,0
-92129,"2018/2019",7,359,0,1,1,1,2,1,1,0
-92127,"2018/2019",8,534,0,0,1,0,9,0,2,0
-92124,"2018/2019",1,10,0,0,0,0,0,0,0,0
-92121,"2018/2019",4,45,0,0,2,1,2,0,0,0
-92120,"2018/2019",7,666,0,0,0,0,0,0,0,0
-92119,"2018/2019",1,6,0,0,0,0,0,0,0,0
-92105,"2018/2019",11,394,3,0,14,9,1,1,0,0
-92104,"2018/2019",4,30,0,0,0,0,1,0,0,0
-92103,"2018/2019",10,454,0,0,1,0,12,2,4,0
-92102,"2018/2019",7,140,0,0,0,0,3,0,0,0
-92100,"2018/2019",1,23,0,0,0,0,0,0,0,0
-92099,"2018/2019",9,285,4,0,9,7,3,1,0,0
-92053,"2018/2019",2,67,0,0,2,1,2,0,0,0
-92050,"2018/2019",3,60,0,0,1,0,3,0,0,0
-92033,"2018/2019",6,221,0,0,3,0,3,0,1,0
-92029,"2018/2019",9,433,0,0,8,1,14,1,0,0
-91746,"2018/2019",5,95,0,0,0,0,2,0,0,0
-91741,"2018/2019",5,86,0,0,1,0,2,0,1,0
-91741,"2017/2018",7,431,1,0,10,6,10,2,0,0
-91735,"2018/2019",1,8,0,0,0,0,1,0,0,0
-91734,"2018/2019",2,23,0,0,0,0,1,0,0,0
-91733,"2018/2019",10,214,0,0,3,1,4,0,0,0
-91732,"2018/2019",14,1264,0,0,3,2,22,0,4,0
-91705,"2018/2019",10,906,1,0,10,5,7,3,1,0
-91466,"2018/2019",12,264,0,0,3,1,11,2,2,0
-91424,"2018/2019",6,77,0,0,1,0,1,0,0,0
-91422,"2018/2019",6,121,0,0,0,0,4,0,1,0
-91421,"2018/2019",8,513,0,0,2,1,6,0,2,0
-91419,"2018/2019",5,382,0,0,2,0,12,0,0,0
-91418,"2018/2019",16,1448,0,1,21,4,27,2,4,0
-91417,"2018/2019",15,1415,0,0,0,0,15,0,2,0
-91411,"2018/2019",10,525,0,0,4,2,13,0,1,0
-91410,"2018/2019",2,26,0,0,0,0,1,0,0,0
-91409,"2018/2019",3,58,0,0,0,0,0,0,0,0
-91408,"2018/2019",2,25,0,0,0,0,1,0,0,0
-91403,"2018/2019",15,1381,0,0,5,0,36,0,3,0
-91373,"2018/2019",1,14,0,0,0,0,0,0,0,0
-91369,"2018/2019",13,1222,3,0,24,11,22,1,3,0
-91367,"2018/2019",3,101,0,0,2,1,1,0,1,0
-91219,"2018/2019",1,97,0,0,0,0,1,0,0,0
-91217,"2018/2019",14,1323,0,0,2,2,21,0,4,1
-91149,"2018/2019",1,19,0,0,0,0,0,0,0,0
-91145,"2018/2019",3,53,0,0,1,0,2,0,0,0
-91144,"2018/2019",3,70,0,0,2,0,0,0,0,0
-91138,"2018/2019",4,23,0,0,0,0,1,0,0,0
-91086,"2018/2019",7,52,0,0,0,0,0,0,0,0
-91081,"2018/2019",2,54,0,0,0,0,2,0,1,0
-91002,"2018/2019",3,44,0,0,1,0,1,0,1,0
-90962,"2018/2019",10,595,1,0,4,2,10,2,0,0
