"player_id","position_cluster","minutes"
-92033,"Central Midfielder",210
-92033,"Right-Sided Attacker",11
-92029,"Central Forward",336
-92029,"Central Midfielder",80
-92029,"Left-Sided Attacker",17
-91746,"Left-Sided Attacker",8
-91746,"Right-Sided Attacker",74
-91741,"Left-Sided Attacker",470
-91741,"Right-Sided Attacker",47
-91735,"Right-Sided Midfielder/Fullback",8
-91734,"Central Midfielder",11
-91734,"Left-Sided Midfielder/Fullback",12
-91733,"Central Midfielder",152
-91733,"Right-Sided Midfielder/Fullback",51
-91732,"Central Defender",1264
-91705,"Left-Sided Midfielder/Fullback",906
-91466,"Central Forward",232
-91466,"Left-Sided Midfielder/Fullback",13
-91424,"Central Midfielder",23
-91424,"Left-Sided Attacker",11
-91422,"Central Defender",96
-91421,"Central Defender",513
-91419,"Central Midfielder",320
-91419,"Right-Sided Midfielder/Fullback",62
-91418,"Central Forward",76
-91418,"Central Midfielder",823
-91418,"Left-Sided Attacker",189
-91418,"Right-Sided Attacker",360
-91417,"Central Defender",1415
-91411,"Left-Sided Attacker",454
-91411,"Left-Sided Midfielder/Fullback",41
-91411,"Right-Sided Attacker",30
-91410,"Left-Sided Attacker",10
-91410,"Right-Sided Attacker",16
-91409,"Left-Sided Midfielder/Fullback",48
-91409,"Right-Sided Attacker",9
-91408,"Right-Sided Midfielder/Fullback",20
-91403,"Central Midfielder",1381
-91373,"Central Midfielder",14
-91369,"Central Midfielder",1222
-91367,"Central Midfielder",36
-91367,"Left-Sided Attacker",65
-91219,"Right-Sided Midfielder/Fullback",97
-91217,"Central Defender",1323
-91149,"Right-Sided Attacker",19
-91145,"Right-Sided Attacker",44
-91144,"Central Midfielder",69
-91138,"Left-Sided Attacker",14
-91086,"Central Forward",25
-91081,"Right-Sided Attacker",47
-91002,"Central Midfielder",21
-91002,"Left-Sided Attacker",16
-90962,"Right-Sided Attacker",595
-90958,"Central Midfielder",92
-90958,"Left-Sided Attacker",58
-90958,"Left-Sided Midfielder/Fullback",66
-90958,"Right-Sided Attacker",274
-90958,"Right-Sided Midfielder/Fullback",96
-90957,"Central Forward",151
-90957,"Central Midfielder",101
-90924,"Central Midfielder",265
-90924,"Left-Sided Attacker",16
-90924,"Right-Sided Midfielder/Fullback",73
-90916,"Left-Sided Attacker",113
-90916,"Right-Sided Attacker",14
-90915,"Central Midfielder",125
-90915,"Left-Sided Attacker",31
-90914,"Central Midfielder",59
-90914,"Left-Sided Attacker",20
-90914,"Right-Sided Attacker",62
-90909,"Central Midfielder",352
-90904,"Left-Sided Attacker",79
-90904,"Right-Sided Attacker",54
-90904,"Right-Sided Midfielder/Fullback",49
-90892,"Central Forward",36
-90859,"Central Midfielder",894
-90859,"Left-Sided Midfielder/Fullback",28
-90859,"Right-Sided Attacker",360
-90859,"Right-Sided Midfielder/Fullback",94
-90764,"Central Forward",78
-90764,"Right-Sided Attacker",9
-90760,"Central Forward",29
-90620,"Right-Sided Midfielder/Fullback",42
-90618,"Central Defender",840
-90615,"Central Forward",61
-90615,"Central Midfielder",66
-90614,"Central Forward",48
-90614,"Central Midfielder",435
-90614,"Right-Sided Midfielder/Fullback",47
-90611,"Central Defender",50
-90611,"Left-Sided Midfielder/Fullback",241
-90606,"Left-Sided Attacker",15
-90606,"Left-Sided Midfielder/Fullback",63
-90606,"Right-Sided Attacker",32
-90606,"Right-Sided Midfielder/Fullback",50
-90598,"Central Forward",16
-90598,"Central Midfielder",39
-90598,"Left-Sided Midfielder/Fullback",16
-90598,"Right-Sided Midfielder/Fullback",24
-90596,"Central Midfielder",61
-90596,"Left-Sided Attacker",309
-90596,"Left-Sided Midfielder/Fullback",118
-90593,"Central Defender",92
-90593,"Central Midfielder",633
-90592,"Central Defender",131
-90592,"Left-Sided Midfielder/Fullback",28
-90589,"Central Forward",73
-90589,"Left-Sided Attacker",341
-90589,"Left-Sided Midfielder/Fullback",45
-90587,"Central Forward",449
-90587,"Central Midfielder",144
-90587,"Right-Sided Attacker",48
-90586,"Right-Sided Attacker",446
-90586,"Right-Sided Midfielder/Fullback",189
-90584,"Central Midfielder",353
-90584,"Left-Sided Attacker",47
-90581,"Central Midfielder",625
-90581,"Right-Sided Attacker",48
-90579,"Right-Sided Midfielder/Fullback",921
-90578,"Central Defender",807
-90577,"Central Forward",94
-90577,"Left-Sided Midfielder/Fullback",843
-90576,"Central Defender",925
-90569,"Central Defender",1044
-90564,"Central Midfielder",677
-90559,"Left-Sided Attacker",273
-90558,"Central Defender",166
-90557,"Central Defender",200
-90556,"Left-Sided Attacker",530
-90552,"Left-Sided Midfielder/Fullback",1373
-90546,"Left-Sided Attacker",241
-90546,"Left-Sided Midfielder/Fullback",193
-90546,"Right-Sided Attacker",190
-90546,"Right-Sided Midfielder/Fullback",348
-90544,"Central Defender",125
-90544,"Central Midfielder",109
-90544,"Left-Sided Midfielder/Fullback",136
-90544,"Right-Sided Midfielder/Fullback",94
-90543,"Central Forward",11
-90543,"Left-Sided Attacker",14
-90542,"Central Forward",35
-90542,"Central Midfielder",20
-90542,"Left-Sided Midfielder/Fullback",18
-90540,"Central Forward",601
-90540,"Right-Sided Attacker",24
-90538,"Central Defender",636
-90538,"Left-Sided Midfielder/Fullback",190
-90537,"Left-Sided Attacker",14
-90536,"Central Defender",378
-90536,"Left-Sided Midfielder/Fullback",776
-90536,"Right-Sided Midfielder/Fullback",291
-90534,"Central Midfielder",77
-90534,"Left-Sided Midfielder/Fullback",119
-90534,"Right-Sided Attacker",212
-90533,"Central Defender",328
-90533,"Right-Sided Midfielder/Fullback",391
-90532,"Central Midfielder",24
-90531,"Central Defender",944
-90531,"Central Forward",145
-90530,"Central Defender",1065
-90528,"Central Midfielder",439
-90526,"Central Defender",161
-90526,"Central Midfielder",11
-90520,"Central Forward",532
-90520,"Left-Sided Attacker",412
-90520,"Left-Sided Midfielder/Fullback",96
-90519,"Central Defender",85
-90518,"Central Forward",654
-90507,"Central Midfielder",289
-90228,"Central Forward",94
-90228,"Central Midfielder",43
-90222,"Left-Sided Attacker",35
-90222,"Right-Sided Attacker",8
-90213,"Left-Sided Attacker",15
-90207,"Central Midfielder",97
-90204,"Right-Sided Attacker",12
-90181,"Central Midfielder",147
-90181,"Left-Sided Attacker",347
-90181,"Left-Sided Midfielder/Fullback",96
-90181,"Right-Sided Attacker",20
-90180,"Central Forward",38
-90180,"Central Midfielder",22
-90180,"Left-Sided Attacker",21
-90180,"Left-Sided Midfielder/Fullback",64
-90180,"Right-Sided Attacker",86
-90180,"Right-Sided Midfielder/Fullback",148
-90177,"Central Midfielder",194
-90177,"Left-Sided Attacker",96
-90177,"Left-Sided Midfielder/Fullback",199
-90177,"Right-Sided Midfielder/Fullback",18
-90175,"Left-Sided Midfielder/Fullback",139
-90143,"Central Midfielder",193
-90143,"Right-Sided Attacker",56
-90142,"Left-Sided Attacker",108
-90142,"Left-Sided Midfielder/Fullback",96
-90142,"Right-Sided Attacker",459
-90142,"Right-Sided Midfielder/Fullback",21
-90141,"Central Defender",1080
-90141,"Right-Sided Midfielder/Fullback",93
-90140,"Left-Sided Attacker",180
-90140,"Left-Sided Midfielder/Fullback",704
-90138,"Left-Sided Attacker",46
-89827,"Central Forward",13
-89827,"Central Midfielder",26
-89827,"Left-Sided Attacker",97
-89826,"Central Forward",17
-89825,"Central Midfielder",121
-89824,"Central Forward",614
-89824,"Central Midfielder",89
-89824,"Left-Sided Attacker",20
-89795,"Central Midfielder",8
-89790,"Central Defender",95
-89790,"Left-Sided Midfielder/Fullback",95
-89790,"Right-Sided Attacker",44
-89776,"Central Midfielder",8
-89643,"Central Midfielder",565
-89643,"Left-Sided Attacker",117
-89640,"Central Defender",559
-89640,"Right-Sided Attacker",16
-89640,"Right-Sided Midfielder/Fullback",233
-89639,"Central Forward",57
-89639,"Central Midfielder",16
-89639,"Left-Sided Midfielder/Fullback",15
-89638,"Central Midfielder",259
-89638,"Left-Sided Attacker",210
-89637,"Left-Sided Attacker",623
-89637,"Right-Sided Attacker",94
-89636,"Central Defender",326
-89636,"Left-Sided Midfielder/Fullback",219
-89636,"Right-Sided Midfielder/Fullback",166
-89635,"Central Midfielder",635
-89635,"Right-Sided Midfielder/Fullback",29
-89634,"Central Forward",890
-89633,"Central Forward",547
-89633,"Central Midfielder",76
-89633,"Left-Sided Attacker",181
-89633,"Right-Sided Attacker",371
-89632,"Central Defender",372
-89632,"Right-Sided Midfielder/Fullback",840
-89630,"Central Defender",421
-89630,"Central Midfielder",328
