"id","positions"
"57758","DMF"
"157078","LDMF"
"157078","LCMF"
"157078","LCMF3"
"214901","RB"
"-92919","RW"
"-95658","DMF"
"120033","GK"
"411152","LCB"
"411152","DMF"
"452124","RB"
"-80824","DMF"
"-80824","RCMF"
"-80824","LCMF"
"260504","LB"
"274650","DMF"
"274650","RB"
"274650","RCB"
"121926","LB"
"218119","RW"
"218119","LCMF"
"218119","DMF"
"2168","LB"
"2168","RB"
"66351","DMF"
"195718","RW"
"195718","CF"
"195718","RCMF"
"137283","LCMF"
"137283","LCMF3"
"19679","LCB"
"19679","RCB"
"255147","RB"
"255147","RCMF"
"176419","RCB"
"176419","LCB"
"69183","RCMF"
"69183","CF"
"388553","LAMF"
"388553","LW"
"388553","LB"
"175358","GK"
"325822","LDMF"
"325822","RDMF"
"325822","LCMF3"
"49571","LCB"
"419949","RDMF"
"419949","RCMF"
"419949","LDMF"
"414891","CF"
"138269","RAMF"
"138269","RW"
"138269","RWF"
"404513","RAMF"
"404513","RCMF"
"404513","RCMF3"
"147659","LCB"
"147659","RCB"
"213892","RB"
"213892","RCB"
"258964","GK"
"314252","RB"
"314252","RAMF"
"314252","LB"
"139433","RCB"
"139433","LCB"
"139433","LB"
"206705","LDMF"
"206705","LCMF"
"260313","AMF"
"260313","LAMF"
"92019","LCB"
"92019","RCB"
"86673","LB"
"262882","RWF"
"262882","LW"
"262882","LB"
"56475","RDMF"
"56475","LCMF"
"66164","RCB"
"255877","GK"
"89934","LDMF"
"89934","RCMF"
"89934","RW"
"207106","LB"
"207106","RB"
"3037","RCB"
"3037","LCB"
"412590","LW"
"412590","AMF"
"412590","LCMF"
"206229","RB"
"206229","LB"
"21042","CF"
"21042","RAMF"
"21042","RW"
"2036","CF"
"89684","RW"
"89684","RB"
"89684","RAMF"
"309996","RCMF"
"309996","LCMF"
"309996","RAMF"
"329777","LCB"
"17018","GK"
"398644","AMF"
"398644","LCMF"
"398644","LW"
"45698","CF"
"143175","CF"
"491546","RWB"
"152875","GK"
"265110","LCMF3"
"265110","AMF"
"265110","LCMF"
"198819","RB"
"198819","RB5"
"456003","LW"
"456003","RW"
"92260","RCB"
"92260","CB"
"92260","RCB3"
"227294","CF"
"56870","LB"
"404963","LW"
"404963","AMF"
"404963","RW"
"265118","RW"
"265118","LW"
"265118","RAMF"
"270929","LCMF"
"270929","RCMF"
"270929","LCMF3"
"201598","CF"
"137689","RCB3"
"137689","RCB"
"137689","LCB"
"257146","LW"
"257146","CF"
"90360","RB"
"90360","RB5"
"90360","RWB"
"194195","DMF"
"194195","RCMF"
"183453","GK"
"307837","LCMF"
"307837","RCMF"
"307837","RCMF3"
"384659","LCB"
"384659","CB"
"384659","LCB3"
"491538","LB"
"491538","LB5"
"491538","LW"
"170872","RCB3"
"134607","RB"
"452451","RW"
"319399","RW"
"319399","RCMF"
"403041","LCB"
"166013","LCMF"
"166013","RCMF"
"215557","CF"
"215557","RWF"
"47189","GK"
"112379","CF"
"112379","RCMF"
"112379","LCMF"
"205254","GK"
"331368","LB"
"176509","RW"
"176509","RAMF"
"176509","RWF"
"129973","LCB"
"272891","LCMF"
"272891","AMF"
"272891","RCMF"
"280640","RB"
"223977","LB"
"223977","LW"
"32767","LCMF"
"32767","DMF"
"32767","RW"
"209567","RCMF"
"209567","RCMF3"
"209567","LCMF"
"280245","CF"
