"acceleration_success","action_in_counterattack_success","aerial_duel_success","ball_delivery_to_danger_zone_success","ball_delivery_to_penalty_area_success","ball_entry_in_final_third_success","controlled_box_entry_success","controlled_penalty_area_entry_success","cross_to_penalty_area_success","cross_to_goalie_box_success","dangerous_opponent_half_recovery_success","dangerous_own_half_loss_success","defensive_duel_success","dribble_success","forward_pass_success","foul","free_kick_success","interception_success","key_pass_success","loose_ball_duel_success","opportunity_success","opportunity_creation_success","pass_to_zone_fourteen_success","pass_to_final_third_success","pass_to_penalty_area_success","progressive_pass_success","progressive_run_success","recovery_success","recovery_counterpressing_success","red_cards","smart_pass_success","shot_after_corner_success","shot_after_free_kick_success","shot_after_throw_in_success","shot_assist_success","shot_buildup_pass_success","shot_from_cross_success","shot_from_danger_zone_success","shot_from_outside_area_success","through_pass_success","throw_in_success","touch_in_box_success","touch_success","vertical_pass_success","yellow_cards","result"
7,0,15,0,14,2,0,1,3,0,6,0,20,20,128,13,1,15,4,13,9,4,19,42,13,71,7,92,43,0,9,1,1,0,10,0,3,7,2,8,17,13,0,141,2,"1"
7,0,19,0,8,1,0,1,3,2,1,0,8,15,80,16,1,10,2,12,3,1,2,28,7,42,1,67,33,1,1,0,0,0,5,0,0,2,0,1,21,7,0,74,1,"0"
4,0,20,0,10,2,0,2,0,0,2,0,11,19,119,14,2,10,0,14,1,1,7,32,8,48,4,75,32,0,0,0,0,0,6,0,0,0,0,2,28,4,0,128,3,"0"
3,0,14,0,9,1,0,0,7,0,2,0,15,19,101,17,0,16,2,16,4,4,7,47,9,67,5,83,34,1,2,0,0,1,4,0,2,3,1,5,13,3,0,87,3,"1"
5,0,11,0,13,3,0,0,6,1,3,0,21,30,121,11,3,9,2,21,6,1,14,51,13,75,3,91,41,0,5,2,0,1,10,0,0,3,1,7,16,7,0,112,2,"0"
5,0,23,0,14,2,0,1,6,0,7,1,24,21,132,9,3,27,0,11,0,1,23,54,13,77,3,101,51,0,0,0,0,0,7,0,0,0,0,2,32,1,0,145,1,"0"
6,0,9,0,10,6,0,0,5,2,2,0,17,21,93,17,1,17,0,10,3,1,19,34,10,50,6,79,38,0,0,1,0,0,4,0,1,1,2,0,22,3,0,124,3,"0"
1,0,15,0,6,1,0,1,2,0,3,0,11,12,94,7,1,14,1,18,3,1,9,21,5,34,3,72,31,0,1,0,0,0,3,0,1,2,1,0,8,4,0,67,0,"1"
11,0,12,0,15,3,0,2,5,1,9,0,16,22,112,20,0,12,4,13,10,6,6,31,13,48,5,69,34,0,1,3,0,0,12,0,2,7,4,2,17,13,0,97,0,"1"
13,0,20,0,10,2,0,2,4,1,7,0,10,14,84,20,0,31,2,16,4,5,12,41,8,58,7,95,56,0,4,0,0,1,6,0,2,4,1,4,18,7,0,88,4,"1"
7,0,29,0,9,0,0,1,5,0,3,0,17,16,89,9,4,26,2,17,5,3,4,37,9,46,1,92,52,0,2,0,1,0,8,0,0,0,1,3,21,5,0,97,2,"0"
3,0,9,0,7,3,0,0,5,0,4,0,13,17,81,20,1,17,1,9,4,0,12,30,7,54,3,71,34,0,1,0,0,0,3,0,0,2,2,2,22,2,0,63,3,"1"
2,0,29,0,6,0,0,0,2,0,1,0,23,24,89,13,5,15,1,14,2,1,9,30,6,47,3,81,47,0,1,1,0,0,4,0,0,1,1,1,6,1,0,69,1,"0"
