"id","position_cluster"
"-59037","Right-Sided Midfielder/Fullback"
"-59039","Central Defender"
"-59040","Central Defender"
"-59050","Central Midfielder"
"-59051","Central Defender"
"-59052","Central Forward"
"-59052","Left-Sided Attacker"
"-59052","Right-Sided Attacker"
"-59055","Central Midfielder"
"-59059","Right-Sided Midfielder/Fullback"
"-59076","Central Defender"
"-59250","Central Defender"
"-59346","Central Defender"
"-59508","Left-Sided Attacker"
"-59643","Central Defender"
"-59657","Central Forward"
"-59675","Central Midfielder"
"-59735","Central Midfielder"
"-59787","Central Defender"
"-59790","Right-Sided Midfielder/Fullback"
"-59792","Central Midfielder"
"-59792","Left-Sided Attacker"
"-59792","Right-Sided Attacker"
"-59797","Central Forward"
"-59797","Left-Sided Attacker"
"-59807","Central Defender"
"-59809","Central Midfielder"
"-59812","Right-Sided Attacker"
"-59812","Right-Sided Midfielder/Fullback"
"-59817","Central Forward"
"-59817","Left-Sided Midfielder/Fullback"
"-60009","Central Defender"
"-60011","Central Midfielder"
"-60014","Central Midfielder"
"-60014","Right-Sided Attacker"
"-60017","Central Forward"
"-60020","Central Defender"
"-60023","Right-Sided Midfielder/Fullback"
"-60024","Central Midfielder"
"-60024","Left-Sided Midfielder/Fullback"
"-60024","Right-Sided Midfielder/Fullback"
"-60025","Central Defender"
"-60029","Central Midfielder"
"-60030","Right-Sided Midfielder/Fullback"
"-60030","Central Midfielder"
"-60030","Left-Sided Midfielder/Fullback"
"-60032","Left-Sided Midfielder/Fullback"
"-60033","Central Forward"
"-60033","Central Midfielder"
"-60305","Left-Sided Midfielder/Fullback"
"-60305","Central Defender"
"-60307","Central Defender"
"-60308","Left-Sided Midfielder/Fullback"
"-60309","Central Midfielder"
"-60310","Right-Sided Attacker"
"-60310","Left-Sided Midfielder/Fullback"
"-60346","Right-Sided Midfielder/Fullback"
"-60480","Left-Sided Attacker"
"-60480","Central Midfielder"
"-60713","Left-Sided Midfielder/Fullback"
"-60714","Central Forward"
"-60714","Central Midfielder"
"-61645","Right-Sided Midfielder/Fullback"
"-61645","Right-Sided Attacker"
"-61825","Central Defender"
"-61994","Central Defender"
"-62380","Central Defender"
"-62380","Left-Sided Midfielder/Fullback"
"-63039","Left-Sided Midfielder/Fullback"
"-63039","Right-Sided Midfielder/Fullback"
"-63458","Central Forward"
"-64038","Central Forward"
"-64038","Central Midfielder"
"-64038","Left-Sided Attacker"
"-64703","Central Midfielder"
"-64884","Central Midfielder"
"-65194","Left-Sided Attacker"
"-65194","Central Forward"
"-65900","Right-Sided Midfielder/Fullback"
"-65900","Central Defender"
"-66321","Central Midfielder"
"-66617","Central Midfielder"
"-66734","Central Forward"
"-66734","Left-Sided Attacker"
"-66734","Right-Sided Attacker"
"-66915","Right-Sided Midfielder/Fullback"
"-66915","Central Midfielder"
"-66915","Left-Sided Midfielder/Fullback"
"-66919","Central Defender"
"-66927","Central Midfielder"
"-70576","Left-Sided Attacker"
"-70576","Central Midfielder"
"-70607","Central Defender"
"-70623","Left-Sided Midfielder/Fullback"
"-70623","Right-Sided Attacker"
"-72311","Right-Sided Attacker"
"-72311","Left-Sided Attacker"
"-72826","Central Defender"
"-73000","Central Midfielder"
"-74927","Central Defender"
"-75271","Central Forward"
"-75271","Left-Sided Attacker"
"-75389","Left-Sided Attacker"
"-75389","Right-Sided Attacker"
"-75615","Left-Sided Midfielder/Fullback"
"-75616","Right-Sided Attacker"
"-75616","Central Forward"
"-75616","Central Midfielder"
"-75664","Central Defender"
"-75904","Central Forward"
"-76174","Left-Sided Attacker"
"-76197","Left-Sided Attacker"
"-76310","Central Forward"
"-76515","Central Forward"
"-76515","Left-Sided Attacker"
"-76518","Central Defender"
"-76562","Right-Sided Midfielder/Fullback"
"-76562","Central Defender"
"-76571","Left-Sided Attacker"
"-76571","Right-Sided Attacker"
"-76573","Central Midfielder"
"-76660","Central Forward"
"-76668","Central Defender"
"-76668","Right-Sided Midfielder/Fullback"
"-76670","Left-Sided Attacker"
"-76670","Left-Sided Midfielder/Fullback"
"-76674","Left-Sided Midfielder/Fullback"
"-76675","Central Defender"
"-76679","Right-Sided Attacker"
"-77071","Right-Sided Midfielder/Fullback"
"-77074","Right-Sided Midfielder/Fullback"
"-77074","Central Midfielder"
"-77075","Right-Sided Midfielder/Fullback"
"-77075","Central Defender"
"-77075","Central Midfielder"
"-77077","Left-Sided Attacker"
"-77184","Central Midfielder"
"-77207","Left-Sided Attacker"
"-77207","Central Midfielder"
"-77259","Right-Sided Attacker"
"-77301","Left-Sided Attacker"
"-77301","Central Forward"
"-77319","Central Defender"
"-77597","Right-Sided Midfielder/Fullback"
"-77599","Left-Sided Attacker"
"-77600","Central Midfielder"
"-77758","Central Defender"
"-77758","Left-Sided Midfielder/Fullback"
"-77941","Central Midfielder"
"-78096","Central Forward"
"-78096","Right-Sided Attacker"
"-78313","Central Midfielder"
"-79301","Right-Sided Midfielder/Fullback"
"-79593","Central Defender"
"-79593","Right-Sided Midfielder/Fullback"
"-79631","Right-Sided Attacker"
"-79873","Central Defender"
"-79933","Right-Sided Attacker"
"-79933","Central Forward"
"-79933","Central Midfielder"
"-79942","Central Midfielder"
"-79942","Left-Sided Midfielder/Fullback"
"-79950","Central Forward"
"-79950","Left-Sided Attacker"
"-79950","Right-Sided Attacker"
"-80266","Left-Sided Attacker"
"-80448","Central Forward"
"-80448","Right-Sided Attacker"
"-80607","Right-Sided Attacker"
"-80607","Left-Sided Attacker"
"-80813","Left-Sided Midfielder/Fullback"
"-80813","Central Midfielder"
"-80819","Central Defender"
"-80832","Right-Sided Attacker"
"-80870","Central Midfielder"
"-80938","Central Forward"
"-81000","Central Defender"
"-81000","Left-Sided Midfielder/Fullback"
"-81397","Central Defender"
"-81456","Central Midfielder"
"-81518","Central Midfielder"
"-84169","Central Defender"
"-84321","Central Midfielder"
"-84412","Central Midfielder"
"-86366","Right-Sided Attacker"
"-86366","Left-Sided Attacker"
"-86903","Central Forward"
"-87728","Left-Sided Midfielder/Fullback"
"-88224","Central Defender"
"-88224","Central Midfielder"
"-88275","Central Defender"
"-88281","Central Midfielder"
"-88281","Left-Sided Attacker"
"-88283","Central Midfielder"
"-88284","Right-Sided Midfielder/Fullback"
"-88284","Central Defender"
"-8923","Right-Sided Attacker"
"-8923","Central Midfielder"
"-89270","Central Defender"
"-89277","Central Forward"
"-89277","Left-Sided Attacker"
"-89277","Right-Sided Attacker"
"-89522","Central Midfielder"
"-89523","Right-Sided Midfielder/Fullback"
"-89523","Central Defender"
"-89542","Central Midfielder"
"-89542","Right-Sided Attacker"
"-8955","Right-Sided Midfielder/Fullback"
"-8955","Central Midfielder"
"-89623","Central Defender"
"-89630","Central Defender"
"-89630","Central Midfielder"
"-89630","Left-Sided Midfielder/Fullback"
"-89632","Central Defender"
"-89632","Right-Sided Midfielder/Fullback"
"-89633","Central Forward"
"-89633","Right-Sided Attacker"
"-90141","Central Defender"
"-90520","Central Forward"
"-90520","Left-Sided Attacker"
"-90530","Central Defender"
"-90531","Central Defender"
"-90536","Central Defender"
"-90536","Left-Sided Midfielder/Fullback"
"-90536","Right-Sided Midfielder/Fullback"
"-90546","Left-Sided Attacker"
"-90546","Right-Sided Midfielder/Fullback"
"-90552","Left-Sided Midfielder/Fullback"
"-90569","Central Defender"
"-90859","Right-Sided Attacker"
"-90859","Central Midfielder"
"-91217","Central Defender"
"-91369","Central Midfielder"
"-91403","Central Midfielder"
"-91417","Central Defender"
"-91418","Central Midfielder"
"-91418","Right-Sided Attacker"
"-91732","Central Defender"
"-92516","Right-Sided Midfielder/Fullback"
"-92924","Left-Sided Midfielder/Fullback"
"-92924","Central Defender"
"-93169","Left-Sided Midfielder/Fullback"
"-93533","Central Forward"
"-93579","Central Forward"
"-93579","Central Midfielder"
"-93768","Right-Sided Midfielder/Fullback"
"-94015","Central Defender"
"-95550","Left-Sided Attacker"
"100348","Left-Sided Midfielder/Fullback"
"100348","Central Midfielder"
"100350","Right-Sided Midfielder/Fullback"
"100350","Left-Sided Midfielder/Fullback"
"10110","Central Midfielder"
"101197","Central Midfielder"
"101197","Left-Sided Midfielder/Fullback"
"101289","Left-Sided Midfielder/Fullback"
"101373","Central Defender"
"101373","Left-Sided Midfielder/Fullback"
"101374","Central Defender"
"102530","Central Forward"
"102546","Central Midfielder"
"102551","Central Midfielder"
"102554","Central Forward"
"102559","Central Forward"
"102599","Left-Sided Midfielder/Fullback"
"10262","Central Midfielder"
"102626","Central Defender"
"102638","Right-Sided Midfielder/Fullback"
"102639","Left-Sided Midfielder/Fullback"
"102644","Central Forward"
"102651","Central Defender"
"102652","Central Forward"
"102652","Central Midfielder"
"102652","Right-Sided Attacker"
"102691","Right-Sided Attacker"
"102691","Left-Sided Attacker"
"102746","Central Forward"
"102761","Right-Sided Midfielder/Fullback"
"102763","Right-Sided Midfielder/Fullback"
